audit_id,user_id,entity_name,entity_id,action_type,old_data,new_data
1,13,surveys,794,UPLOAD_EVIDENCE,"{""status"":""old""}","{""status"":""new""}"
2,840,survey_evidence,1767,UPLOAD_EVIDENCE,"{""status"":""old""}","{""status"":""new""}"
3,721,survey_evidence,1519,APPROVE_SURVEY,"{""status"":""old""}","{""status"":""new""}"
4,477,survey_approvals,1222,APPROVE_SURVEY,"{""status"":""old""}","{""status"":""new""}"
5,509,surveys,1281,UPLOAD_EVIDENCE,"{""status"":""old""}","{""status"":""new""}"
6,273,survey_evidence,585,APPROVE_SURVEY,"{""status"":""old""}","{""status"":""new""}"
7,1157,surveys,4016,APPROVE_SURVEY,"{""status"":""old""}","{""status"":""new""}"
8,58,surveys,1401,APPROVE_SURVEY,"{""status"":""old""}","{""status"":""new""}"
9,1926,survey_approvals,1023,CREATE_SURVEY,"{""status"":""old""}","{""status"":""new""}"
10,1496,surveys,2206,REJECT_SURVEY,"{""status"":""old""}","{""status"":""new""}"
11,122,surveys,2375,REJECT_SURVEY,"{""status"":""old""}","{""status"":""new""}"
12,581,survey_evidence,2250,REJECT_SURVEY,"{""status"":""old""}","{""status"":""new""}"
13,467,survey_approvals,3454,APPROVE_SURVEY,"{""status"":""old""}","{""status"":""new""}"
14,505,survey_approvals,2602,REJECT_SURVEY,"{""status"":""old""}","{""status"":""new""}"
15,528,survey_evidence,3155,APPROVE_SURVEY,"{""status"":""old""}","{""status"":""new""}"
16,1480,survey_approvals,1990,REJECT_SURVEY,"{""status"":""old""}","{""status"":""new""}"
17,1850,survey_approvals,3402,APPROVE_SURVEY,"{""status"":""old""}","{""status"":""new""}"
18,1477,survey_evidence,3171,UPLOAD_EVIDENCE,"{""status"":""old""}","{""status"":""new""}"
19,805,surveys,1135,CREATE_SURVEY,"{""status"":""old""}","{""status"":""new""}"
20,1770,surveys,3683,REJECT_SURVEY,"{""status"":""old""}","{""status"":""new""}"
21,1785,survey_approvals,3241,REJECT_SURVEY,"{""status"":""old""}","{""status"":""new""}"
22,310,survey_approvals,2113,REJECT_SURVEY,"{""status"":""old""}","{""status"":""new""}"
23,1573,survey_evidence,3824,CREATE_SURVEY,"{""status"":""old""}","{""status"":""new""}"
24,1232,survey_approvals,1925,APPROVE_SURVEY,"{""status"":""old""}","{""status"":""new""}"
25,1196,survey_evidence,2927,REJECT_SURVEY,"{""status"":""old""}","{""status"":""new""}"
26,1136,survey_approvals,3385,CREATE_SURVEY,"{""status"":""old""}","{""status"":""new""}"
27,1247,survey_evidence,3397,CREATE_SURVEY,"{""status"":""old""}","{""status"":""new""}"
28,1733,survey_approvals,1547,UPLOAD_EVIDENCE,"{""status"":""old""}","{""status"":""new""}"
29,147,surveys,1965,UPLOAD_EVIDENCE,"{""status"":""old""}","{""status"":""new""}"
30,1268,survey_approvals,1591,REJECT_SURVEY,"{""status"":""old""}","{""status"":""new""}"
31,272,surveys,127,CREATE_SURVEY,"{""status"":""old""}","{""status"":""new""}"
