payment_id,survey_id,beneficiary_id,payment_reference,amount,payment_status,transaction_metadata
1,3666,1681,DBT-0000001,72984,FAILED,"{""bank"":""SBI""}"
2,2315,376,DBT-0000002,57832,PROCESSING,"{""bank"":""SBI""}"
3,2663,1558,DBT-0000003,76639,FAILED,"{""bank"":""SBI""}"
4,1047,14,DBT-0000004,90683,COMPLETED,"{""bank"":""SBI""}"
5,2306,1134,DBT-0000005,71721,PROCESSING,"{""bank"":""SBI""}"
6,3358,894,DBT-0000006,37799,PENDING,"{""bank"":""SBI""}"
7,2530,632,DBT-0000007,74417,PROCESSING,"{""bank"":""SBI""}"
8,2531,1151,DBT-0000008,10243,PENDING,"{""bank"":""SBI""}"
9,1504,157,DBT-0000009,77061,PROCESSING,"{""bank"":""SBI""}"
10,205,590,DBT-0000010,99657,COMPLETED,"{""bank"":""SBI""}"
11,445,1350,DBT-0000011,18181,PROCESSING,"{""bank"":""SBI""}"
12,2109,14,DBT-0000012,92726,PENDING,"{""bank"":""SBI""}"
13,1992,393,DBT-0000013,96479,COMPLETED,"{""bank"":""SBI""}"
14,1608,914,DBT-0000014,77337,PROCESSING,"{""bank"":""SBI""}"
15,3959,462,DBT-0000015,61175,FAILED,"{""bank"":""SBI""}"
16,3838,1141,DBT-0000016,84517,PENDING,"{""bank"":""SBI""}"
17,3275,1870,DBT-0000017,45855,COMPLETED,"{""bank"":""SBI""}"
18,2295,512,DBT-0000018,65119,COMPLETED,"{""bank"":""SBI""}"
19,529,782,DBT-0000019,43330,FAILED,"{""bank"":""SBI""}"
20,1645,1720,DBT-0000020,59286,COMPLETED,"{""bank"":""SBI""}"
21,3188,642,DBT-0000021,50399,FAILED,"{""bank"":""SBI""}"
22,620,804,DBT-0000022,90157,FAILED,"{""bank"":""SBI""}"
23,3730,1844,DBT-0000023,80718,FAILED,"{""bank"":""SBI""}"
24,537,749,DBT-0000024,91287,PENDING,"{""bank"":""SBI""}"
25,2905,663,DBT-0000025,99612,PROCESSING,"{""bank"":""SBI""}"
26,1388,1214,DBT-0000026,41348,PENDING,"{""bank"":""SBI""}"
27,1508,607,DBT-0000027,77065,PENDING,"{""bank"":""SBI""}"
28,1285,1841,DBT-0000028,25544,PENDING,"{""bank"":""SBI""}"
29,3128,1512,DBT-0000029,40799,PENDING,"{""bank"":""SBI""}"
30,3960,1387,DBT-0000030,8494,PROCESSING,"{""bank"":""SBI""}"
31,2762,673,DBT-0000031,13342,COMPLETED,"{""bank"":""SBI""}"
32,1762,698,DBT-0000032,60050,COMPLETED,"{""bank"":""SBI""}"
33,2133,668,DBT-0000033,72285,PENDING,"{""bank"":""SBI""}"
34,196,104,DBT-0000034,77000,PENDING,"{""bank"":""SBI""}"
35,2965,1539,DBT-0000035,45130,FAILED,"{""bank"":""SBI""}"
36,1096,224,DBT-0000036,40699,COMPLETED,"{""bank"":""SBI""}"
37,2622,1590,DBT-0000037,89442,FAILED,"{""bank"":""SBI""}"
38,2728,690,DBT-0000038,87827,PENDING,"{""bank"":""SBI""}"
39,1467,1003,DBT-0000039,17564,COMPLETED,"{""bank"":""SBI""}"
40,3665,502,DBT-0000040,27816,FAILED,"{""bank"":""SBI""}"
41,3483,270,DBT-0000041,6535,PROCESSING,"{""bank"":""SBI""}"
42,3394,866,DBT-0000042,78788,COMPLETED,"{""bank"":""SBI""}"
43,1057,1976,DBT-0000043,69891,PROCESSING,"{""bank"":""SBI""}"
44,1649,783,DBT-0000044,55407,PENDING,"{""bank"":""SBI""}"
45,3460,410,DBT-0000045,52772,COMPLETED,"{""bank"":""SBI""}"
46,2936,1400,DBT-0000046,48485,PENDING,"{""bank"":""SBI""}"
47,1686,427,DBT-0000047,79778,PROCESSING,"{""bank"":""SBI""}"
