farm_id,farmer_id,survey_number,gat_number,farm_area_hectare,village_id,geojson,soil_type,irrigation_type
1,1,928/4,GAT-1,6.88,342,"{""type"":""Polygon""}",Red Soil,Rainfed
2,2,306/1,GAT-2,4.0,169,"{""type"":""Polygon""}",Black Soil,Canal
3,2,609/4,GAT-3,4.52,169,"{""type"":""Polygon""}",Black Soil,Drip
4,2,485/4,GAT-4,9.77,169,"{""type"":""Polygon""}",Red Soil,Rainfed
5,3,363/3,GAT-5,6.27,329,"{""type"":""Polygon""}",Red Soil,Canal
6,3,3/1,GAT-6,1.71,329,"{""type"":""Polygon""}",Red Soil,Canal
7,3,480/4,GAT-7,3.28,329,"{""type"":""Polygon""}",Black Soil,Rainfed
8,4,492/1,GAT-8,5.16,233,"{""type"":""Polygon""}",Clay,Canal
9,5,588/5,GAT-9,2.61,175,"{""type"":""Polygon""}",Clay,Canal
10,6,244/4,GAT-10,1.39,207,"{""type"":""Polygon""}",Red Soil,Rainfed
11,6,106/4,GAT-11,3.25,207,"{""type"":""Polygon""}",Black Soil,Drip
12,6,692/3,GAT-12,3.12,207,"{""type"":""Polygon""}",Clay,Canal
13,7,816/1,GAT-13,6.83,40,"{""type"":""Polygon""}",Black Soil,Canal
14,8,960/5,GAT-14,5.41,399,"{""type"":""Polygon""}",Black Soil,Drip
15,8,547/1,GAT-15,3.84,399,"{""type"":""Polygon""}",Red Soil,Canal
16,8,612/2,GAT-16,9.1,399,"{""type"":""Polygon""}",Black Soil,Canal
17,9,31/1,GAT-17,2.17,104,"{""type"":""Polygon""}",Red Soil,Canal
18,9,135/5,GAT-18,4.89,104,"{""type"":""Polygon""}",Clay,Canal
19,9,339/2,GAT-19,0.66,104,"{""type"":""Polygon""}",Clay,Drip
20,10,902/5,GAT-20,0.9,472,"{""type"":""Polygon""}",Red Soil,Rainfed
21,11,115/5,GAT-21,9.75,182,"{""type"":""Polygon""}",Clay,Canal
22,11,894/2,GAT-22,8.67,182,"{""type"":""Polygon""}",Clay,Canal
23,11,172/1,GAT-23,7.13,182,"{""type"":""Polygon""}",Red Soil,Canal
24,12,479/1,GAT-24,7.29,428,"{""type"":""Polygon""}",Black Soil,Rainfed
25,13,341/2,GAT-25,1.88,182,"{""type"":""Polygon""}",Black Soil,Rainfed
26,13,450/2,GAT-26,2.31,182,"{""type"":""Polygon""}",Black Soil,Drip
27,14,742/1,GAT-27,1.78,324,"{""type"":""Polygon""}",Black Soil,Drip
28,14,597/1,GAT-28,1.83,324,"{""type"":""Polygon""}",Red Soil,Rainfed
29,14,440/1,GAT-29,8.27,324,"{""type"":""Polygon""}",Clay,Rainfed
30,15,298/5,GAT-30,1.08,54,"{""type"":""Polygon""}",Clay,Rainfed
31,16,701/5,GAT-31,1.54,216,"{""type"":""Polygon""}",Red Soil,Canal
32,16,46/2,GAT-32,7.95,216,"{""type"":""Polygon""}",Clay,Canal
33,16,559/4,GAT-33,5.4,216,"{""type"":""Polygon""}",Clay,Canal
34,17,502/4,GAT-34,9.44,176,"{""type"":""Polygon""}",Red Soil,Canal
