satellite_id,survey_id,ndvi_before,ndvi_after,vegetation_loss,satellite_source,imagery_urls
1,1,0.62,0.48,41.84,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
2,2,0.66,0.14,31.0,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
3,3,0.59,0.14,12.12,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
4,4,0.61,0.32,39.7,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
5,5,0.63,0.36,30.56,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
6,6,0.59,0.19,53.88,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
7,7,0.87,0.28,31.32,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
8,8,0.6,0.27,28.73,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
9,9,0.58,0.44,79.51,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
10,10,0.81,0.21,48.75,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
11,11,0.76,0.16,24.28,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
12,12,0.76,0.36,87.3,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
13,13,0.83,0.43,26.18,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
14,14,0.78,0.29,87.65,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
15,15,0.93,0.43,16.7,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
16,16,0.52,0.47,22.24,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
17,17,0.75,0.43,17.96,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
18,18,0.59,0.41,49.78,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
19,19,0.6,0.18,15.21,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
20,20,0.95,0.14,33.26,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
21,21,0.69,0.16,42.0,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
22,22,0.76,0.34,29.72,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
23,23,0.76,0.37,94.38,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
24,24,0.93,0.18,15.85,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
25,25,0.81,0.16,54.83,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
26,26,0.71,0.47,62.24,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
27,27,0.6,0.33,48.73,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
28,28,0.87,0.49,18.82,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
29,29,0.91,0.18,92.41,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
