approval_id,survey_id,approved_by,role,approval_level,status,remarks,modified_loss_percentage
1,1,11,DISTRICT_AUTHORITY,1,UNDER_REVIEW,Approved after verification,72
2,1,46,TALATHI,2,UNDER_REVIEW,Need re-survey,24
3,1,75,DISTRICT_AUTHORITY,3,UNDER_REVIEW,NDVI mismatch,79
4,1,54,TALATHI,4,REJECTED,Approved after verification,77
5,2,11,DISTRICT_AUTHORITY,1,UNDER_REVIEW,Approved after verification,88
6,2,7,TALATHI,2,UNDER_REVIEW,Need re-survey,37
7,3,40,TALUKA_AUTHORITY,1,APPROVED,Geo-fence passed,82
8,3,30,TALATHI,2,APPROVED,Geo-fence passed,54
9,3,74,TALUKA_AUTHORITY,3,UNDER_REVIEW,Geo-fence passed,40
10,4,30,DISTRICT_AUTHORITY,1,APPROVED,NDVI mismatch,7
11,4,1,TALUKA_AUTHORITY,2,APPROVED,NDVI mismatch,72
12,5,23,TALUKA_AUTHORITY,1,REJECTED,Need re-survey,8
13,6,45,TALUKA_AUTHORITY,1,UNDER_REVIEW,Geo-fence passed,10
14,6,18,DISTRICT_AUTHORITY,2,APPROVED,Need re-survey,55
15,6,69,TALUKA_AUTHORITY,3,UNDER_REVIEW,Need re-survey,65
16,6,63,DISTRICT_AUTHORITY,4,REJECTED,Approved after verification,39
17,7,30,DISTRICT_AUTHORITY,1,REJECTED,Geo-fence passed,57
18,8,25,DISTRICT_AUTHORITY,1,UNDER_REVIEW,Need re-survey,26
19,8,28,TALUKA_AUTHORITY,2,UNDER_REVIEW,Need re-survey,18
20,8,83,TALUKA_AUTHORITY,3,REJECTED,NDVI mismatch,49
21,9,20,TALATHI,1,UNDER_REVIEW,Approved after verification,24
22,10,3,TALUKA_AUTHORITY,1,UNDER_REVIEW,Geo-fence passed,89
23,11,74,TALUKA_AUTHORITY,1,UNDER_REVIEW,NDVI mismatch,74
24,12,43,DISTRICT_AUTHORITY,1,REJECTED,Need re-survey,79
25,12,32,TALUKA_AUTHORITY,2,APPROVED,Geo-fence passed,73
26,12,16,TALUKA_AUTHORITY,3,APPROVED,NDVI mismatch,52
27,13,35,TALATHI,1,REJECTED,NDVI mismatch,62
28,13,84,DISTRICT_AUTHORITY,2,APPROVED,Need re-survey,56
29,14,41,DISTRICT_AUTHORITY,1,UNDER_REVIEW,Need re-survey,5
30,14,72,TALATHI,2,REJECTED,NDVI mismatch,40
31,15,55,TALATHI,1,UNDER_REVIEW,NDVI mismatch,95
32,16,63,DISTRICT_AUTHORITY,1,APPROVED,Approved after verification,81
33,17,85,DISTRICT_AUTHORITY,1,REJECTED,Need re-survey,16
34,17,81,DISTRICT_AUTHORITY,2,UNDER_REVIEW,Need re-survey,69
35,18,12,TALUKA_AUTHORITY,1,REJECTED,Need re-survey,37
36,18,18,TALUKA_AUTHORITY,2,REJECTED,Need re-survey,21
37,18,25,TALUKA_AUTHORITY,3,UNDER_REVIEW,NDVI mismatch,74
38,18,21,TALATHI,4,APPROVED,NDVI mismatch,21
39,19,49,TALATHI,1,UNDER_REVIEW,NDVI mismatch,41
40,19,17,DISTRICT_AUTHORITY,2,REJECTED,Approved after verification,47
41,19,51,TALATHI,3,APPROVED,Geo-fence passed,95
42,20,84,DISTRICT_AUTHORITY,1,APPROVED,Need re-survey,57
43,20,81,DISTRICT_AUTHORITY,2,UNDER_REVIEW,Geo-fence passed,31
44,20,11,TALATHI,3,APPROVED,Geo-fence passed,30
45,20,5,TALATHI,4,APPROVED,Need re-survey,86
46,21,54,TALATHI,1,REJECTED,Need re-survey,5
47,21,88,TALATHI,2,REJECTED,Need re-survey,17
48,21,38,TALUKA_AUTHORITY,3,APPROVED,Approved after verification,47
49,22,68,TALATHI,1,APPROVED,Geo-fence passed,83
50,22,45,TALATHI,2,REJECTED,Geo-fence passed,74
51,23,84,TALUKA_AUTHORITY,1,REJECTED,Approved after verification,79
52,23,37,DISTRICT_AUTHORITY,2,UNDER_REVIEW,Approved after verification,12
53,23,27,DISTRICT_AUTHORITY,3,REJECTED,Need re-survey,53
54,23,36,TALATHI,4,APPROVED,Approved after verification,25
55,24,36,TALUKA_AUTHORITY,1,APPROVED,Approved after verification,90
56,25,72,TALUKA_AUTHORITY,1,REJECTED,Approved after verification,85
57,25,21,TALUKA_AUTHORITY,2,UNDER_REVIEW,Approved after verification,48
58,26,61,TALUKA_AUTHORITY,1,UNDER_REVIEW,NDVI mismatch,26
59,26,73,DISTRICT_AUTHORITY,2,UNDER_REVIEW,Geo-fence passed,8
60,26,86,TALUKA_AUTHORITY,3,APPROVED,Geo-fence passed,6
61,26,77,TALUKA_AUTHORITY,4,REJECTED,NDVI mismatch,44
62,27,45,TALUKA_AUTHORITY,1,UNDER_REVIEW,Need re-survey,51
63,27,8,TALUKA_AUTHORITY,2,UNDER_REVIEW,NDVI mismatch,83
64,28,53,TALATHI,1,UNDER_REVIEW,Geo-fence passed,86
65,28,19,TALUKA_AUTHORITY,2,UNDER_REVIEW,NDVI mismatch,32
66,28,24,DISTRICT_AUTHORITY,3,REJECTED,Geo-fence passed,68
67,29,45,TALATHI,1,REJECTED,Need re-survey,9
68,29,3,TALATHI,2,APPROVED,Need re-survey,79
69,29,46,TALUKA_AUTHORITY,3,REJECTED,Need re-survey,68
70,29,39,TALUKA_AUTHORITY,4,APPROVED,Approved after verification,92
71,30,53,DISTRICT_AUTHORITY,1,UNDER_REVIEW,Need re-survey,43
72,30,19,DISTRICT_AUTHORITY,2,UNDER_REVIEW,NDVI mismatch,87
73,31,41,DISTRICT_AUTHORITY,1,UNDER_REVIEW,Geo-fence passed,74
74,31,13,DISTRICT_AUTHORITY,2,REJECTED,Need re-survey,25
75,31,66,TALATHI,3,APPROVED,Need re-survey,91
76,31,33,TALATHI,4,REJECTED,NDVI mismatch,66
77,32,76,TALUKA_AUTHORITY,1,UNDER_REVIEW,Need re-survey,26
78,32,55,TALATHI,2,REJECTED,Need re-survey,13
79,32,14,DISTRICT_AUTHORITY,3,UNDER_REVIEW,Need re-survey,75
80,32,72,TALATHI,4,APPROVED,Need re-survey,25
81,33,35,TALUKA_AUTHORITY,1,REJECTED,Geo-fence passed,34
82,33,71,TALUKA_AUTHORITY,2,APPROVED,Approved after verification,72
83,34,26,TALATHI,1,APPROVED,Approved after verification,81
84,34,61,TALATHI,2,APPROVED,NDVI mismatch,46
85,34,5,DISTRICT_AUTHORITY,3,REJECTED,Approved after verification,25
86,34,16,TALUKA_AUTHORITY,4,REJECTED,Geo-fence passed,54
87,35,36,TALUKA_AUTHORITY,1,REJECTED,NDVI mismatch,65
88,35,17,DISTRICT_AUTHORITY,2,APPROVED,Need re-survey,32
89,35,68,TALATHI,3,REJECTED,NDVI mismatch,82
90,36,81,DISTRICT_AUTHORITY,1,APPROVED,Geo-fence passed,44
91,36,53,DISTRICT_AUTHORITY,2,APPROVED,Geo-fence passed,95
92,36,50,DISTRICT_AUTHORITY,3,UNDER_REVIEW,Geo-fence passed,61
93,36,14,TALUKA_AUTHORITY,4,UNDER_REVIEW,NDVI mismatch,32
94,37,59,TALATHI,1,REJECTED,NDVI mismatch,25
95,37,60,TALUKA_AUTHORITY,2,UNDER_REVIEW,Approved after verification,16
96,37,53,DISTRICT_AUTHORITY,3,REJECTED,Approved after verification,39
97,38,58,DISTRICT_AUTHORITY,1,APPROVED,Approved after verification,47
98,38,45,TALATHI,2,APPROVED,Need re-survey,14
99,39,65,TALATHI,1,UNDER_REVIEW,Approved after verification,11
100,40,88,TALUKA_AUTHORITY,1,APPROVED,NDVI mismatch,67
101,40,32,DISTRICT_AUTHORITY,2,UNDER_REVIEW,Geo-fence passed,6
102,40,65,DISTRICT_AUTHORITY,3,REJECTED,Approved after verification,87
103,41,13,TALUKA_AUTHORITY,1,REJECTED,Geo-fence passed,38
104,41,3,DISTRICT_AUTHORITY,2,UNDER_REVIEW,Need re-survey,8
105,41,23,TALATHI,3,UNDER_REVIEW,NDVI mismatch,44
106,42,32,TALUKA_AUTHORITY,1,APPROVED,NDVI mismatch,49
107,42,5,DISTRICT_AUTHORITY,2,APPROVED,NDVI mismatch,12
108,42,24,TALUKA_AUTHORITY,3,REJECTED,NDVI mismatch,32
109,43,79,DISTRICT_AUTHORITY,1,APPROVED,Approved after verification,63
110,44,82,DISTRICT_AUTHORITY,1,APPROVED,Approved after verification,93
111,44,9,TALATHI,2,REJECTED,Geo-fence passed,47
112,44,89,TALATHI,3,APPROVED,Geo-fence passed,93
113,44,73,TALATHI,4,APPROVED,Need re-survey,33
114,45,87,TALATHI,1,UNDER_REVIEW,Geo-fence passed,14
115,45,89,TALATHI,2,REJECTED,Geo-fence passed,13
116,45,62,DISTRICT_AUTHORITY,3,UNDER_REVIEW,NDVI mismatch,16
117,46,77,TALUKA_AUTHORITY,1,REJECTED,Need re-survey,24
118,46,28,TALATHI,2,UNDER_REVIEW,NDVI mismatch,93
119,46,15,DISTRICT_AUTHORITY,3,UNDER_REVIEW,NDVI mismatch,62
120,47,69,TALATHI,1,UNDER_REVIEW,Geo-fence passed,43
121,47,70,DISTRICT_AUTHORITY,2,REJECTED,Geo-fence passed,20
122,48,5,TALATHI,1,REJECTED,NDVI mismatch,41
123,48,44,TALATHI,2,APPROVED,Geo-fence passed,86
124,48,53,TALATHI,3,UNDER_REVIEW,Approved after verification,82
125,49,14,TALATHI,1,UNDER_REVIEW,Need re-survey,39
126,49,39,TALUKA_AUTHORITY,2,APPROVED,Need re-survey,61
127,49,3,DISTRICT_AUTHORITY,3,UNDER_REVIEW,NDVI mismatch,71
128,50,72,TALATHI,1,UNDER_REVIEW,Geo-fence passed,56
129,50,24,DISTRICT_AUTHORITY,2,UNDER_REVIEW,Need re-survey,81
130,51,81,DISTRICT_AUTHORITY,1,REJECTED,Need re-survey,48
131,51,9,TALUKA_AUTHORITY,2,UNDER_REVIEW,Geo-fence passed,90
132,51,53,TALATHI,3,REJECTED,NDVI mismatch,33
133,52,33,TALUKA_AUTHORITY,1,UNDER_REVIEW,NDVI mismatch,55
134,52,42,DISTRICT_AUTHORITY,2,REJECTED,Geo-fence passed,27
135,52,88,DISTRICT_AUTHORITY,3,UNDER_REVIEW,NDVI mismatch,77
136,53,66,DISTRICT_AUTHORITY,1,REJECTED,Geo-fence passed,89
137,53,85,TALUKA_AUTHORITY,2,APPROVED,Need re-survey,89
138,54,47,DISTRICT_AUTHORITY,1,UNDER_REVIEW,NDVI mismatch,23
139,54,82,TALUKA_AUTHORITY,2,UNDER_REVIEW,Need re-survey,56
140,54,80,TALATHI,3,APPROVED,Approved after verification,55
141,54,29,DISTRICT_AUTHORITY,4,REJECTED,Need re-survey,79
142,55,79,DISTRICT_AUTHORITY,1,UNDER_REVIEW,NDVI mismatch,42
143,55,71,TALUKA_AUTHORITY,2,UNDER_REVIEW,Need re-survey,17
144,56,80,TALUKA_AUTHORITY,1,REJECTED,Approved after verification,19
145,56,86,DISTRICT_AUTHORITY,2,UNDER_REVIEW,NDVI mismatch,83
146,56,29,DISTRICT_AUTHORITY,3,UNDER_REVIEW,Need re-survey,15
147,56,58,DISTRICT_AUTHORITY,4,REJECTED,Geo-fence passed,74
148,57,48,TALUKA_AUTHORITY,1,APPROVED,Need re-survey,50
149,58,69,TALUKA_AUTHORITY,1,UNDER_REVIEW,Need re-survey,8
150,58,61,TALUKA_AUTHORITY,2,REJECTED,Need re-survey,51
151,58,28,DISTRICT_AUTHORITY,3,APPROVED,NDVI mismatch,23
152,58,65,TALUKA_AUTHORITY,4,APPROVED,NDVI mismatch,75
153,59,31,DISTRICT_AUTHORITY,1,APPROVED,NDVI mismatch,54
154,60,44,TALUKA_AUTHORITY,1,APPROVED,Geo-fence passed,89
155,61,13,TALUKA_AUTHORITY,1,APPROVED,Geo-fence passed,62
156,62,81,DISTRICT_AUTHORITY,1,APPROVED,NDVI mismatch,82
157,62,76,TALUKA_AUTHORITY,2,UNDER_REVIEW,Need re-survey,46
158,62,85,TALATHI,3,APPROVED,NDVI mismatch,51
