evidence_id,survey_id,file_type,file_url,gps_lat,gps_lng,captured_at,ai_analysis,embedding_vector
1,1,VIDEO,https://mock/2c5a5e05-4e48-474a-9d3f-2a97c814a85d.jpg,16.4410284,72.7651706,2026-05-13 05:57:19,"{""damage_confidence"":92}","{""vector"":""mock""}"
2,1,VIDEO,https://mock/57fd2e69-ff5d-47a3-82bc-6a7e63ee6dac.jpg,16.9396948,74.2700427,2026-05-13 05:57:19,"{""damage_confidence"":92}","{""vector"":""mock""}"
3,2,VIDEO,https://mock/c934a429-6ce3-47cc-95a1-9adcb6f3ad80.jpg,20.4229066,77.591267,2026-05-13 05:57:19,"{""damage_confidence"":92}","{""vector"":""mock""}"
4,3,VIDEO,https://mock/88749e6f-481a-4a81-96b3-50f200208dbd.jpg,17.2269598,74.386733,2026-05-13 05:57:19,"{""damage_confidence"":92}","{""vector"":""mock""}"
5,3,VIDEO,https://mock/fbf3086c-9adf-4b19-b285-e45ade74e2c6.jpg,19.8437385,74.8658638,2026-05-13 05:57:19,"{""damage_confidence"":92}","{""vector"":""mock""}"
6,4,VIDEO,https://mock/431b7724-6631-4e28-b8f5-d7fa2107de32.jpg,20.389634,72.6028378,2026-05-13 05:57:19,"{""damage_confidence"":92}","{""vector"":""mock""}"
7,4,IMAGE,https://mock/e77a01f4-1447-48cd-87a4-6c1e86929959.jpg,18.7263521,75.2787106,2026-05-13 05:57:19,"{""damage_confidence"":92}","{""vector"":""mock""}"
8,4,IMAGE,https://mock/fb81c7a3-2302-4b6e-87b3-0c3a3fa2612b.jpg,19.8198648,75.6233984,2026-05-13 05:57:19,"{""damage_confidence"":92}","{""vector"":""mock""}"
9,5,VIDEO,https://mock/d064bb61-b096-48ef-8b63-469cde143f10.jpg,18.7809076,76.4763536,2026-05-13 05:57:19,"{""damage_confidence"":92}","{""vector"":""mock""}"
10,5,VIDEO,https://mock/34eda8c9-e8be-49d9-b6ab-d2fcf87fc787.jpg,20.0933122,73.5078337,2026-05-13 05:57:19,"{""damage_confidence"":92}","{""vector"":""mock""}"
11,5,IMAGE,https://mock/81feeda2-bb8b-4263-b9d7-31d3f30ff853.jpg,18.8291596,79.1064174,2026-05-13 05:57:19,"{""damage_confidence"":92}","{""vector"":""mock""}"
12,6,VIDEO,https://mock/f8a214a6-47a9-46d6-93ce-330d6eef2feb.jpg,20.2650171,75.1869372,2026-05-13 05:57:19,"{""damage_confidence"":92}","{""vector"":""mock""}"
13,6,IMAGE,https://mock/4beb38cd-9c90-4a74-8609-edaa8d5240ec.jpg,20.5715225,72.8377014,2026-05-13 05:57:19,"{""damage_confidence"":92}","{""vector"":""mock""}"
14,7,VIDEO,https://mock/b6f3c2d0-04f0-44d6-ae7e-2b2fd68d8677.jpg,18.2870579,76.7150302,2026-05-13 05:57:19,"{""damage_confidence"":92}","{""vector"":""mock""}"
15,7,VIDEO,https://mock/2915e9c2-33ea-467e-a2d9-97bb955ea253.jpg,16.2767653,76.686577,2026-05-13 05:57:19,"{""damage_confidence"":92}","{""vector"":""mock""}"
16,8,VIDEO,https://mock/63685f6f-ba13-4584-82dd-73f22a521be7.jpg,17.9968509,73.4102799,2026-05-13 05:57:19,"{""damage_confidence"":92}","{""vector"":""mock""}"
17,9,IMAGE,https://mock/812a4bf5-ec5e-4a72-a1d1-8d6a272ab76c.jpg,17.2568632,79.8251589,2026-05-13 05:57:19,"{""damage_confidence"":92}","{""vector"":""mock""}"
18,9,VIDEO,https://mock/2a619663-c220-48c8-aab5-29f0e4a25234.jpg,18.9116315,79.8422846,2026-05-13 05:57:19,"{""damage_confidence"":92}","{""vector"":""mock""}"
19,10,VIDEO,https://mock/bb20681c-b3c6-417e-90d7-50d8130294ab.jpg,19.0276833,79.0151255,2026-05-13 05:57:19,"{""damage_confidence"":92}","{""vector"":""mock""}"
20,11,IMAGE,https://mock/95255f09-6c53-421b-8032-2097639939ef.jpg,18.1119676,72.9771492,2026-05-13 05:57:19,"{""damage_confidence"":92}","{""vector"":""mock""}"
21,11,VIDEO,https://mock/4c8883c0-3a71-4bee-95c4-d15af389ee05.jpg,19.6366113,79.264266,2026-05-13 05:57:19,"{""damage_confidence"":92}","{""vector"":""mock""}"
22,12,VIDEO,https://mock/eef36e62-4e8a-4be8-9d80-5ee09a90eb48.jpg,16.3979557,75.1350136,2026-05-13 05:57:19,"{""damage_confidence"":92}","{""vector"":""mock""}"
23,12,VIDEO,https://mock/a7f8175a-7046-4c7a-a3d7-9d20dfc491cc.jpg,19.0195157,79.5705004,2026-05-13 05:57:19,"{""damage_confidence"":92}","{""vector"":""mock""}"
24,12,VIDEO,https://mock/98a1e4cb-2008-4c17-8e69-802a53a312fd.jpg,16.201456,77.3750476,2026-05-13 05:57:19,"{""damage_confidence"":92}","{""vector"":""mock""}"
25,13,IMAGE,https://mock/76fba561-2a19-4e22-8f1d-97be7554e87f.jpg,18.2497717,79.4268056,2026-05-13 05:57:19,"{""damage_confidence"":92}","{""vector"":""mock""}"
26,13,IMAGE,https://mock/476e2b9f-948a-4a92-b6c6-722b79322b22.jpg,20.6174722,76.4758339,2026-05-13 05:57:19,"{""damage_confidence"":92}","{""vector"":""mock""}"
27,13,VIDEO,https://mock/0cac733a-c592-4289-8df2-dbcea4038a25.jpg,19.1992911,76.373433,2026-05-13 05:57:19,"{""damage_confidence"":92}","{""vector"":""mock""}"
