survey_id,survey_reference,farmer_id,farm_id,scheme_id,crop_name,reason_for_survey,incident_type,incident_date,survey_date,sowing_date,loss_percentage,compensation_amount,weather_score,ndvi_drop,ai_confidence,fraud_risk_score,status
1,SURVEY-0000001,1943,3930,4,Sugarcane,Drought,ATIVRUSHTI,2026-04-25,2026-05-13,2025-06-15,91,22796,66.79,62.99,60.65,88,REJECTED
2,SURVEY-0000002,447,893,4,Soybean,Pest Attack,ATIVRUSHTI,2026-02-14,2026-05-13,2025-06-15,5,34241,96.24,91.43,64.22,18,APPROVED
3,SURVEY-0000003,1004,1999,3,Bajra,Heavy Rainfall,FLOOD,2026-04-14,2026-05-13,2025-06-15,11,81052,72.05,26.07,58.75,22,SUBMITTED
4,SURVEY-0000004,1103,2208,4,Cotton,Flood Damage,PEST_ATTACK,2026-05-09,2026-05-13,2025-06-15,10,47973,98.71,26.0,59.93,9,FIELD_VERIFIED
5,SURVEY-0000005,78,144,1,Sugarcane,Pest Attack,DROUGHT,2026-04-04,2026-05-13,2025-06-15,63,68499,18.44,75.55,98.1,33,APPROVED
6,SURVEY-0000006,865,1722,3,Soybean,Pest Attack,ATIVRUSHTI,2026-02-28,2026-05-13,2025-06-15,42,55669,51.9,33.33,85.93,10,REJECTED
7,SURVEY-0000007,1606,3248,4,Cotton,Heavy Rainfall,DROUGHT,2026-05-06,2026-05-13,2025-06-15,59,24438,28.63,91.36,70.1,32,REJECTED
8,SURVEY-0000008,1987,4017,4,Bajra,Pest Attack,DROUGHT,2026-03-15,2026-05-13,2025-06-15,44,93942,47.98,66.05,87.33,16,SUBMITTED
9,SURVEY-0000009,1016,2022,3,Soybean,Flood Damage,ATIVRUSHTI,2026-03-22,2026-05-13,2025-06-15,28,67854,82.77,48.21,76.16,25,APPROVED
10,SURVEY-0000010,386,772,2,Cotton,Drought,DROUGHT,2026-03-13,2026-05-13,2025-06-15,28,66162,15.47,82.65,71.16,41,FIELD_VERIFIED
11,SURVEY-0000011,152,285,1,Sugarcane,Heavy Rainfall,FLOOD,2026-02-18,2026-05-13,2025-06-15,80,36721,93.04,10.92,61.25,84,APPROVED
12,SURVEY-0000012,306,599,1,Sugarcane,Heavy Rainfall,ATIVRUSHTI,2026-04-13,2026-05-13,2025-06-15,26,46184,24.86,22.44,56.22,37,SUBMITTED
13,SURVEY-0000013,1440,2906,1,Sugarcane,Flood Damage,DROUGHT,2026-03-30,2026-05-13,2025-06-15,63,44593,32.89,58.17,74.04,34,SUBMITTED
14,SURVEY-0000014,1104,2210,1,Cotton,Pest Attack,DROUGHT,2026-03-07,2026-05-13,2025-06-15,9,85787,24.44,21.14,78.42,28,REJECTED
