weather_id,survey_id,rainfall_mm,weather_source,anomaly_score,weather_metadata
1,1,387.14,IMD,39.81,"{""extreme_weather"":true}"
2,2,436.94,IMD,23.02,"{""extreme_weather"":true}"
3,3,103.45,IMD,96.88,"{""extreme_weather"":true}"
4,4,328.5,IMD,48.85,"{""extreme_weather"":true}"
5,5,375.24,IMD,18.53,"{""extreme_weather"":true}"
6,6,197.08,IMD,26.56,"{""extreme_weather"":true}"
7,7,286.56,IMD,81.62,"{""extreme_weather"":true}"
8,8,215.19,IMD,38.04,"{""extreme_weather"":true}"
9,9,367.41,IMD,51.47,"{""extreme_weather"":true}"
10,10,87.13,IMD,34.53,"{""extreme_weather"":true}"
11,11,426.53,IMD,37.19,"{""extreme_weather"":true}"
12,12,399.73,IMD,89.21,"{""extreme_weather"":true}"
13,13,478.54,IMD,17.76,"{""extreme_weather"":true}"
14,14,361.27,IMD,98.25,"{""extreme_weather"":true}"
15,15,222.73,IMD,73.17,"{""extreme_weather"":true}"
16,16,237.64,IMD,96.28,"{""extreme_weather"":true}"
17,17,333.64,IMD,30.77,"{""extreme_weather"":true}"
18,18,162.78,IMD,58.25,"{""extreme_weather"":true}"
19,19,38.91,IMD,26.85,"{""extreme_weather"":true}"
20,20,83.55,IMD,65.53,"{""extreme_weather"":true}"
21,21,460.51,IMD,77.78,"{""extreme_weather"":true}"
22,22,362.52,IMD,6.99,"{""extreme_weather"":true}"
23,23,60.12,IMD,27.91,"{""extreme_weather"":true}"
24,24,213.52,IMD,95.86,"{""extreme_weather"":true}"
25,25,63.96,IMD,86.19,"{""extreme_weather"":true}"
26,26,17.53,IMD,40.65,"{""extreme_weather"":true}"
27,27,489.58,IMD,44.98,"{""extreme_weather"":true}"
28,28,86.75,IMD,90.04,"{""extreme_weather"":true}"
29,29,153.35,IMD,39.12,"{""extreme_weather"":true}"
30,30,415.11,IMD,70.67,"{""extreme_weather"":true}"
31,31,108.43,IMD,31.5,"{""extreme_weather"":true}"
32,32,322.51,IMD,56.45,"{""extreme_weather"":true}"
33,33,165.04,IMD,39.8,"{""extreme_weather"":true}"
34,34,203.14,IMD,96.3,"{""extreme_weather"":true}"
35,35,318.23,IMD,29.52,"{""extreme_weather"":true}"
36,36,109.83,IMD,81.84,"{""extreme_weather"":true}"
37,37,72.48,IMD,34.43,"{""extreme_weather"":true}"
38,38,309.88,IMD,69.94,"{""extreme_weather"":true}"
39,39,34.38,IMD,87.33,"{""extreme_weather"":true}"
40,40,426.35,IMD,71.73,"{""extreme_weather"":true}"
41,41,164.99,IMD,27.42,"{""extreme_weather"":true}"
42,42,33.65,IMD,21.08,"{""extreme_weather"":true}"
43,43,82.68,IMD,71.25,"{""extreme_weather"":true}"
44,44,286.16,IMD,96.23,"{""extreme_weather"":true}"
45,45,269.69,IMD,22.11,"{""extreme_weather"":true}"
46,46,326.29,IMD,82.17,"{""extreme_weather"":true}"
47,47,93.15,IMD,30.96,"{""extreme_weather"":true}"
